SPV,,A8
STA,(ab),AE a b
STA,(U),2E
STA,(X),0E
STA,(Y),1E
STA,#(ab),FD AE a b
STA,#(U),FD 2E
STA,#(X),FD 0E
STA,#(Y),FD 1E
STA,UH,28
STA,UL,2A
STA,XH,08
STA,XL,0A
STA,YH,18
STA,YL,1A
STX,P,FD 5E
STX,S,FD 4E
STX,U,FD 6A
STX,X,FD 4A
STX,Y,FD 5A
TIN,,F5
TTA,,FD AA
VCR,i,C1 i
VCS,i,C3 i
VEJ,C0,C0
VEJ,C2,C2
VEJ,C4,C4
VEJ,C6,C6
VEJ,C8,C8
VEJ,CA,CA
VEJ,CC,CC
VEJ,CE,CE
VEJ,D0,D0
VEJ,D2,D2
VEJ,D4,D4
VEJ,D6,D6
VEJ,D8,D8
VEJ,DA,DA
VEJ,DC,DC
VEJ,DE,DE
VEJ,E0,E0
VEJ,E2,E2
VEJ,E4,E4
VEJ,E6,E6
VEJ,E8,E8
VEJ,EA,EA
VEJ,EC,EC
VEJ,EE,EE
VEJ,F0,F0
VEJ,F2,F2
VEJ,F4,F4
VEJ,F6,F6
VHR,i,C5 i
VHS,i,C7 i
VMJ,i,CD i
VVS,i,CF i
VZR,i,C9 i
VZS,i,CB i
XOR,(ab),AD a b
XOR,(U),2D
XOR,(X),0D
XOR,(Y),1D
XOR,#(ab),FD AD a b
XOR,#(U),FD 2D
XOR,#(X),FD 0D
XOR,#(Y),FD 1D
